Dataset,p,alpha,RCBS_solution,RCBS_time,DL-RCBS_solution,DL-RCBS_time,ARCBS_solution,ARCBS_time,DL-ARCBS_solution,DL-ARCBS_time,IRCBS_solution,IRCBS_time,DL-IRCBS_solution,DL-IRCBS_time,IARCBS_solution,IARCBS_time,DL-IARCBS_solution,DL-IARCBS_time,CPLEX_solution,CPLEX_time
ap50,4,0.6,718943.7453,9.138,685205.2754,12.669,718943.7453,24.445,682514.807,24.12,693116.3004,9.038,683980.0418,20.877,693116.3004,26.797,682514.807,37.137,674874.4441,53.148
ap50,4,0.7,750812.0109,12.089,717484.047,20.316,750812.0109,27.356,712227.3832,27.48,723599.5744,14.612,717484.047,37.337,723599.5744,39.088,712227.3832,53.425,705716.7129,73.839
ap50,4,0.8,782115.1547,15.13,749762.8186,20.737,782115.1547,39.744,741669.9448,36.74,754081.7198,27.06,749473.7705,52.741,754081.7198,61.388,741669.9448,62.003,736558.9817,86.643
ap50,5,0.2,534040.8446,4.704,507463.8033,2.999,522319.2017,4.773,507463.8033,3.035,519215.3865,4.493,499344.9812,4.83,511815.1326,6.404,499344.9812,5.556,499005.6574,19.963
ap50,5,0.3,580043.6079,11.137,546492.3398,4.418,568528.4946,11.205,546492.3398,5.557,562644.664,14.643,537336.1321,8.695,554262.2203,18.635,537336.1321,8.99,537336.1321,43.403
ap50,5,0.4,620652.8419,12.288,585490.1991,8.953,612925.7994,18.176,585490.1991,11.442,603841.9251,21.326,574928.7578,10.694,594562.5749,28.337,574928.7578,11.226,574928.7578,48.426
ap50,5,0.5,660439.2479,17.666,622538.8671,21.457,652985.343,20.494,622379.6218,23.106,639222.8744,25.071,612481.9141,16.138,630739.9999,35.654,612481.9141,21.287,612481.9141,97.07
ap50,5,0.6,697542.8683,20.015,655484.0137,25.752,692340.5115,25.076,654494.0129,31.051,672812.2618,41.549,648314.5966,31.077,666613.4337,49.48,648275.7731,41.588,647059.3016,150.358
ap50,5,0.7,733176.4553,27.354,687797.9642,35.521,730664.5046,45.137,686606.6597,32.264,706402.7371,52.33,681133.4663,49.263,702447.6061,80.058,681133.4663,62.483,680745.4414,220.088
ap50,5,0.8,765953.1544,38.524,720093.2114,49.86,765953.1544,43.736,718722.3397,54.41,739999.4112,67.551,713995.6882,65.825,738278.6816,125.699,713995.6882,69.947,713995.6882,373.037
cab100,2,0.2,18626182022,285.5244,17455136872,256.2136,17959792948,221.8968,17455136872,253.3864,18626182022,209.683,17455136872,293.1515,17959792948,236.8954,17455136872,188.9926,16492712786,753.0753
cab100,2,0.3,19204900454,265.4227,18259102697,221.7445,18592055815,210.4957,18259102697,272.1321,19204900454,212.0774,18259102697,274.2187,18592055815,179.1202,18259102697,203.0261,17115830281,1251.8733
